x	y	cat1	cat2
-25.1	37.4	Dairy and Egg Products	7
-30.2	42.6	Dairy and Egg Products	7
3.32	39.9	Dairy and Egg Products	7
60.3	15.6	Dairy and Egg Products	7
-31.8	-9.25	Dairy and Egg Products	7
14.5	24.9	Dairy and Egg Products	7
15.3	24.6	Dairy and Egg Products	7
4.56	32.2	Dairy and Egg Products	7
6.4	31.1	Dairy and Egg Products	7
12.0	26.2	Dairy and Egg Products	7
-29.9	45.0	Dairy and Egg Products	7
15.5	23.9	Dairy and Egg Products	7
-31.0	44.6	Dairy and Egg Products	7
-24.7	37.4	Dairy and Egg Products	7
35.6	-48.9	Dairy and Egg Products	7
-35.9	42.2	Dairy and Egg Products	7
-35.5	42.6	Dairy and Egg Products	7
-34.3	43.9	Dairy and Egg Products	7
-35.4	42.6	Dairy and Egg Products	7
-34.9	43.3	Dairy and Egg Products	7
4.44	21.2	Dairy and Egg Products	7
8.86	24.0	Dairy and Egg Products	7
15.9	21.6	Dairy and Egg Products	7
9.48	20.6	Dairy and Egg Products	7
10.0	26.6	Dairy and Egg Products	7
8.49	30.5	Dairy and Egg Products	7
-29.9	46.7	Dairy and Egg Products	7
6.44	-4.73	Dairy and Egg Products	7
-63.7	-6.99	Dairy and Egg Products	7
-29.2	43.7	Dairy and Egg Products	7
-29.5	46.6	Dairy and Egg Products	7
-49.7	32.4	Dairy and Egg Products	7
13.6	25.3	Dairy and Egg Products	7
-31.4	45.8	Dairy and Egg Products	7
-3.35	24.4	Dairy and Egg Products	7
-33.7	43.0	Dairy and Egg Products	7
8.82	23.7	Dairy and Egg Products	7
8.05	24.1	Dairy and Egg Products	7
8.1	24.3	Dairy and Egg Products	7
8.49	30.5	Dairy and Egg Products	7
7.47	25.0	Dairy and Egg Products	7
15.5	23.9	Dairy and Egg Products	7
35.6	-48.9	Dairy and Egg Products	7
-12.1	55.8	Dairy and Egg Products	7
-13.1	56.8	Dairy and Egg Products	7
-16.7	22.1	Dairy and Egg Products	7
35.5	13.1	Dairy and Egg Products	7
-29.5	42.4	Dairy and Egg Products	7
-29.0	41.0	Dairy and Egg Products	7
-29.1	42.8	Dairy and Egg Products	7
13.4	25.3	Dairy and Egg Products	7
7.41	25.0	Dairy and Egg Products	7
7.18	24.3	Dairy and Egg Products	7
2.37	34.3	Dairy and Egg Products	7
-12.4	14.9	Dairy and Egg Products	7
-11.4	3.72	Dairy and Egg Products	7
1.92	-2.36	Dairy and Egg Products	7
-41.0	-5.9	Dairy and Egg Products	7
19.1	-2.25	Dairy and Egg Products	7
5.87	34.1	Dairy and Egg Products	7
6.46	32.3	Dairy and Egg Products	7
5.03	29.0	Dairy and Egg Products	7
17.0	40.1	Dairy and Egg Products	7
-29.0	42.2	Dairy and Egg Products	7
-29.5	48.9	Dairy and Egg Products	7
-30.4	46.4	Dairy and Egg Products	7
-29.5	42.2	Dairy and Egg Products	7
3.3	39.8	Dairy and Egg Products	7
15.5	22.0	Dairy and Egg Products	7
-31.8	-9.28	Dairy and Egg Products	7
-34.3	43.1	Dairy and Egg Products	7
-29.5	43.9	Dairy and Egg Products	7
6.48	30.2	Dairy and Egg Products	7
-41.7	-7.43	Dairy and Egg Products	7
-29.0	44.9	Dairy and Egg Products	7
-29.3	45.5	Dairy and Egg Products	7
-31.5	44.7	Dairy and Egg Products	7
-30.0	42.6	Dairy and Egg Products	7
-30.5	43.2	Dairy and Egg Products	7
15.0	21.7	Dairy and Egg Products	7
13.7	20.3	Dairy and Egg Products	7
14.3	20.9	Dairy and Egg Products	7
14.3	21.1	Dairy and Egg Products	7
14.4	21.3	Dairy and Egg Products	7
-23.8	43.0	Spices and Herbs	22
-27.2	42.3	Spices and Herbs	22
-26.7	49.8	Spices and Herbs	22
-24.9	44.5	Spices and Herbs	22
-27.6	43.4	Spices and Herbs	22
-23.1	31.2	Spices and Herbs	22
-27.4	49.0	Spices and Herbs	22
-27.1	48.0	Spices and Herbs	22
5.02	60.2	Spices and Herbs	22
-24.5	45.4	Spices and Herbs	22
-23.4	43.0	Spices and Herbs	22
-27.0	47.6	Spices and Herbs	22
-26.4	42.6	Spices and Herbs	22
-27.6	46.0	Spices and Herbs	22
-26.5	40.4	Spices and Herbs	22
-26.2	48.2	Spices and Herbs	22
-27.2	49.1	Spices and Herbs	22
-27.4	47.0	Spices and Herbs	22
-41.3	23.7	Spices and Herbs	22
-44.0	28.0	Spices and Herbs	22
-41.9	22.1	Spices and Herbs	22
-61.3	16.5	Spices and Herbs	22
-26.5	49.4	Spices and Herbs	22
-47.4	38.7	Spices and Herbs	22
-60.1	16.4	Spices and Herbs	22
-26.9	33.8	Spices and Herbs	22
-26.0	48.5	Spices and Herbs	22
4.54	62.5	Spices and Herbs	22
-27.0	47.1	Spices and Herbs	22
-22.9	31.2	Spices and Herbs	22
4.76	61.8	Spices and Herbs	22
-19.1	24.0	Spices and Herbs	22
-29.0	48.4	Spices and Herbs	22
-25.2	45.4	Spices and Herbs	22
-23.8	43.2	Spices and Herbs	22
-25.3	47.5	Spices and Herbs	22
-40.6	23.8	Spices and Herbs	22
-26.1	48.9	Spices and Herbs	22
-26.7	49.5	Spices and Herbs	22
-26.5	47.2	Spices and Herbs	22
-26.4	49.2	Spices and Herbs	22
-41.3	23.7	Spices and Herbs	22
17.5	45.6	Spices and Herbs	22
14.6	49.3	Spices and Herbs	22
39.7	-8.3	Spices and Herbs	22
69.8	27.4	Spices and Herbs	22
66.1	20.3	Spices and Herbs	22
13.7	38.2	Spices and Herbs	22
6.21	-2.37	Spices and Herbs	22
8.76	-3.22	Spices and Herbs	22
62.4	8.76	Spices and Herbs	22
67.6	20.6	Spices and Herbs	22
48.0	24.7	Spices and Herbs	22
44.1	26.5	Spices and Herbs	22
14.2	38.0	Spices and Herbs	22
16.8	43.9	Spices and Herbs	22
17.2	44.0	Spices and Herbs	22
-25.7	49.2	Spices and Herbs	22
66.6	20.7	Spices and Herbs	22
53.9	0.022	Spices and Herbs	22
13.9	-2.42	Spices and Herbs	22
71.9	24.6	Spices and Herbs	22
-49.5	-15.1	Spices and Herbs	22
-49.8	-14.9	Spices and Herbs	22
-52.4	-16.2	Baby Foods	1
38.8	-3.64	Baby Foods	1
38.8	-3.64	Baby Foods	1
38.7	-3.89	Baby Foods	1
28.4	-5.15	Baby Foods	1
30.4	-3.14	Baby Foods	1
30.6	-3.31	Baby Foods	1
38.4	-4.21	Baby Foods	1
28.8	-4.59	Baby Foods	1
28.2	-8.93	Baby Foods	1
27.6	-8.89	Baby Foods	1
5.44	-23.5	Baby Foods	1
35.3	-8.74	Baby Foods	1
35.3	-8.73	Baby Foods	1
-5.35	10.0	Baby Foods	1
-53.7	-20.7	Baby Foods	1
5.08	-22.7	Baby Foods	1
54.3	15.5	Baby Foods	1
36.6	37.2	Baby Foods	1
33.6	37.7	Baby Foods	1
35.3	37.0	Baby Foods	1
35.7	36.6	Baby Foods	1
28.4	34.9	Baby Foods	1
35.7	36.5	Baby Foods	1
13.7	22.2	Baby Foods	1
42.7	8.97	Baby Foods	1
29.4	38.9	Baby Foods	1
38.0	4.37	Baby Foods	1
31.1	41.7	Baby Foods	1
22.7	48.2	Baby Foods	1
22.7	48.2	Baby Foods	1
23.4	48.0	Baby Foods	1
29.5	43.4	Baby Foods	1
27.7	44.5	Baby Foods	1
27.8	44.5	Baby Foods	1
30.0	42.4	Baby Foods	1
27.9	43.9	Baby Foods	1
29.2	42.5	Baby Foods	1
29.2	41.1	Baby Foods	1
32.7	37.7	Baby Foods	1
29.6	35.9	Baby Foods	1
23.6	47.0	Baby Foods	1
32.8	38.3	Baby Foods	1
34.1	37.8	Baby Foods	1
35.3	36.2	Baby Foods	1
35.3	38.6	Baby Foods	1
34.9	38.2	Baby Foods	1
31.8	41.5	Baby Foods	1
30.6	42.1	Baby Foods	1
22.9	47.2	Baby Foods	1
23.6	47.2	Baby Foods	1
34.0	12.1	Baby Foods	1
34.6	13.7	Baby Foods	1
47.2	25.1	Baby Foods	1
45.4	26.2	Baby Foods	1
48.6	26.7	Baby Foods	1
35.0	12.2	Baby Foods	1
53.7	22.1	Baby Foods	1
13.7	54.1	Baby Foods	1
13.3	54.1	Baby Foods	1
33.8	42.4	Baby Foods	1
33.9	42.5	Baby Foods	1
19.9	50.1	Baby Foods	1
19.6	50.5	Baby Foods	1
50.6	9.79	Baby Foods	1
26.9	44.1	Baby Foods	1
58.6	33.7	Baby Foods	1
58.9	35.1	Baby Foods	1
60.1	35.1	Baby Foods	1
40.2	43.1	Baby Foods	1
47.5	9.42	Baby Foods	1
48.5	8.96	Baby Foods	1
40.9	5.06	Baby Foods	1
38.8	3.94	Baby Foods	1
20.4	46.2	Baby Foods	1
40.1	43.2	Baby Foods	1
55.6	10.4	Baby Foods	1
43.5	42.2	Baby Foods	1
43.5	42.2	Baby Foods	1
60.5	34.1	Baby Foods	1
60.6	33.6	Baby Foods	1
58.0	4.0	Baby Foods	1
58.1	3.17	Baby Foods	1
55.7	5.18	Baby Foods	1
