x	y
61.5	33.9
58.3	32.4
58.2	32.6
30.8	43.1
60.2	4.95
60.5	5.41
60.3	34.3
61	32.2
55	39
58.5	34.2
54.1	39.7
50.3	1.76
57.9	32.2
60	6.17
56.8	37.4
59	33.2
56.7	37.5
59.8	33.5
56.8	37.5
55.6	39.1
55.2	36.9
54.8	38
59.2	34.6
54.1	38.3
58.4	36.9
56.1	36.7
55.7	38.8
56.1	37.6
-27.3	43.7
-27.3	42
-27	43.2
-27	42.9
51	2.75
48	3.56
-28	44.7
-27.3	42.5
47.2	4.06
47.2	3.92
-29.2	47.3
-28	44.8
51.9	2.84
35.7	37.5
35.6	37.5
45.4	8.71
41.3	8.71
-28.9	33.8
-46.2	9.58
-46.6	9.15
53.1	2.58
-27.8	44
-27.1	42.8
-38.3	10.6
-47.7	1.07
-35.4	9.26
-22.1	25.8
-50	2.48
59.9	3.58
59.4	3.09
58.9	1.88
56.9	5.07
56.9	4.66
49.5	4.11
60.3	4.77
60.2	4.64
38.9	42.8
40.5	43.4
49.7	3.63
58.9	7.84
58.5	6.72
55.3	10.2
35.5	9.95
35.3	9.78
59.3	33.8
35.4	19.7
56.7	37.5
27.8	20.5
28.3	44
28.1	44.5
29.4	44.3
60	5.3
24.1	46.9
20.1	49.3
26.9	45.1
36.3	36.5
49.1	8.26
11.5	54.9
49.7	8.72
29	42.4
47.7	7.04
43.6	29
35.1	20.1
-27.2	36.2
23.4	47.6
37.5	-7.78
9.43	25.5
3.99	25.2
5.76	25.7
9.75	25.3
4.44	25.2
9.75	25.3
-2.97	25.3
8.72	25.5
-2.77	25.2
-2.8	25.3
4.18	25.3
9.64	25.3
31.5	36.2
8.09	33.4
-9.23	52.6
31.7	34.8
-10.3	52.7
31.7	34.8
-10.3	52.6
-10.2	52.3
7.57	32.6
30.8	34.1
-10.8	51.6
31.2	35
7.46	32
-10.3	52.6
7.56	32.6
3.89	59.3
20.8	46.9
-11.8	52.6
29.7	33.7
30.5	32.9
7.25	31
31.4	34.9
-11.8	51.5
-10.7	52.4
7.44	32.6
30.9	34.8
-8.94	52.8
-10.8	51.5
17.6	46.8
17.9	47.1
30.4	33.5
7.28	31.3
-11.7	51.8
7.49	31.9
30.8	34.1
30.5	33.4
-11.9	52.3
31.3	35.4
7.96	32.9
-11.8	51.3
-9.74	52.1
7.25	31
31.6	35.3
7.96	32.9
30.4	32.7
-9.73	52.1
31	33.7
10.1	32.1
-31.7	46.7
12.8	26
-11.2	51.7
31.5	34.6
-10.7	52.4
11.4	18.6
30.4	32.5
7.27	30.6
-12.1	51
31.1	33.4
7.27	31.5
-11.3	52.1
-31.7	46.7
12.8	26
28.6	43.8
30.2	33.6
32	36.3
7.72	33.4
-9.14	52.1
31.4	34
7.02	32.1
-10.5	51.2
30.7	35
-9.96	51.8
29.2	34.3
-11.3	53.5
30.5	34.6
7.6	32.4
-10.4	51.7
31	35.4
-9.74	52.1
7.96	32.9
7.28	31.3
30.4	33.5
-11.7	51.8
29.5	33.2
12.1	22.1
-11.5	51.4
54.5	15.1
31.5	36.2
31.5	36.2
31.7	34.9
-25.3	45.8
12.7	21.6
7.25	31.6
-12.3	51.7
12.7	26.3
-10	51.9
12.8	26.3
12.9	26.3
31.2	34.2
19.8	46.9
19.8	46.8
31.1	35.5
13.1	26.8
31.8	35.8
13	26.8
31.7	35.8
12.8	26.2
30.2	33.6
30.7	34.8
49.8	0.429
